Petal,Rarity,Image,ID,Count,Stack,Damage,Health,Primary Respawn,Usage Respawn,DPS,Special Stat Name,Special Stat 1,Special Stat 2,Special Stat 3,Attack Action,Defend Action,Notes,Mob Drops,Modifiable Stats,Formulas,,,,,
Mysterious Relic,Common,,53,N/A,No,N/A,N/A,N/A,N/A,N/A,Flower Health,10%,N/A,,None,None,"Does not orbit the user.
Makes the user appear reddish. This change is visible in the top left UI. If the user takes damage, all other nearby relic users take a percentage of the damage too, spreading it out.
If equipped while using Ant Eggs, the eggs will hatch Soldier Termites instead of Soldier Ants, which share damage between each other and the player.","Baby Termite
Soldier Termite
Worker Termite
Termite Overmind
Termite Mound",,,,1,#VALUE!,#VALUE!,
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,20%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,30%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,40%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,50%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,60%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,70%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,80%,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,90%,,,,,,,,,,1,#VALUE!,#VALUE!,
Rice,Common,,24,1,Yes,4,1,0.1,N/A,19.048,N/A,,,,Far,Close,N/A,Baby Ant,,,,0,0,1,
,Unusual,,,1,,12,3,0.1,N/A,57.143,,,,,,,,,,,,0,0,1,
,Rare,,,1,,36,9,0.1,N/A,171.429,,,,,,,,,,,,0,0,1,
,Epic,,,1,,108,27,0.1,N/A,514.286,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,324,81,0.1,N/A,1542.857,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,972,243,0.1,N/A,13885.714,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,2916,729,0.1,N/A,111085.714,,,,,,,,,,,,0,0,1,
,Super,,,1,,8748,2187,0.1,N/A,916457.143,,,,,,,,,,,,0,0,1,
,Unique,,,1,,26244,6561,0.1,N/A,607489.712,,,,,,,,,,,,1,2.6244,2.6244,
Rock,Common,,3,1,Yes,15,45,4,N/A,3.606,N/A,,,,Somewhat Far,Somewhat Close,N/A,Rock,,,,0,0,1,
,Unusual,,,1,,45,135,4,N/A,21.635,,,,,,,,,,,,0,0,1,
,Rare,,,1,,135,405,4,N/A,162.26,,,,,,,,,,,,0,0,1,
,Epic,,,1,,405,1215,4,N/A,1265.625,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,1215,3645,4,N/A,7883.01,,,,,,,,,,,,1,1.458,1.458,
,Mythic,,,1,,3645,10935,4,N/A,46705.033,,,,,,,,,,,,1,4.374,4.374,
,Ultra,,,1,,10935,32805,4,N/A,207570.116,,,,,,,,,,,,1,13.122,13.122,
,Super,,,1,,32805,98415,4,N/A,741741.505,,,,,,,,,,,,1,39.366,39.366,
,Unique,,,1,,98415,295245,4,N/A,2376657.288,,,,,,,,,,,,1,118.098,118.098,
Root,Common,,65,1,No,N/A,N/A,5,N/A,N/A,Armor,2.5,N/A,,None,Close,Increases armor if the flower is defending. See Statuses for info on armor.,Leafbug,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,5,N/A,N/A,,7.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,5,N/A,N/A,,22.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,5,N/A,N/A,,67.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,5,N/A,N/A,,202.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,5,N/A,N/A,,607.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,5,N/A,N/A,,1052.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,5,N/A,N/A,,1822.5,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,5,N/A,N/A,,3156.7,,,,,,,,,,1,#VALUE!,#VALUE!,
Rose,Common,,5,1,Yes,5,5,3.5,1,1.366,Heal,8,N/A,,None,Close,"Heals the user, or if at full health, nearby friendly flowers. The petal then goes on respawn. In Hel, nearby players will not be healed unless they are in the user's squad.","Ladybug (Light)
Ladybug (Shiny)",,,7.5,0,0,1,
,Unusual,,,1,,15,15,3.5,1,4.098,,23,,,,,,,,,,0,0,1,
,Rare,,,1,,45,45,3.5,1,12.295,,68,,,,,,,,,,0,0,1,
,Epic,,,1,,135,135,3.5,1,73.77,,203,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,405,3.5,1,553.279,,608,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,1215,3.5,1,4315.574,,1823,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,3645,3.5,1,25959.408,,3157,,,,,,,,,,1,1.458,1.458,
,Super,,,1,,10935,10935,3.5,1,148835.232,,5468,,,,,,,,,,1,4.374,4.374,
,Unique,,,1,,32805,32805,3.5,1,641263.273,,9470,,,,,,,,,,1,13.122,13.122,
Rubber,Common,,62,1,Yes,1,30,2.5,N/A,0.376,Knockback,0.3,N/A,,Far,Close,"Increases knockback received. Negates all lightning damage, causing damage to go to the petal instead. ",Termite Mound,,,,0,0,1,
,Unusual,,,1,,3,90,2.5,N/A,1.128,,0.6,,,,,,,,,,0,0,1,
,Rare,,,1,,9,270,2.5,N/A,10.15,,0.9,,,,,,,,,,0,0,1,
,Epic,,,1,,27,810,2.5,N/A,91.353,,1.2,,,,,,,,,,0,0,1,
,Legendary,,,1,,81,2430,2.5,N/A,761.278,,1.5,,,,,,,,,,0,0,1,
,Mythic,,,1,,243,7290,2.5,N/A,3176.955,,1.8,,,,,,,,,,1,2.916,2.916,
,Ultra,,,1,,729,21870,2.5,N/A,13975.482,,2.1,,,,,,,,,,1,8.748,8.748,
,Super,,,1,,2187,65610,2.5,N/A,49643.326,,2.4,,,,,,,,,,1,26.244,26.244,
,Unique,,,1,,6561,196830,2.5,N/A,158664.442,,2.7,,,,,,,,,,1,78.732,78.732,
Salt,Common,,23,1,No,10,10,2.5,N/A,3.759,Damage Reflection,"50% (Against Common), 20% (other flowers)",,N/A,Far,Close,Reflects a percentage of damage taken (shield does not count) back to the attacker. Damage reflection listed is against mobs at the same rarity of the petal. Reflection is multiplied by 3 for mobs at each rarity below the petal and divided by 3 for mobs at each rarity above the petal. Reflects 20% of player damage for all rarities.,"Centipede (Desert)
Starfish",,1.25,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,"50% (Against Unusual), 20% (other flowers)",,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,"50% (Against Rare), 20% (other flowers)",,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,"50% (Against Epic), 20% (other flowers)",,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,"50% (Against Legendary), 20% (other flowers)",,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,"50% (Against Mythic), 20% (other flowers)",,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,"50% (Against Ultra), 20% (other flowers)",,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,"50% (Against Super), 20% (other flowers)",,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,"50% (Against Unique), 20% (other flowers)",,,,,,,,,,1,26.244,26.244,
Sand,Common,,26,4,Yes,5,1.2,1.5,N/A,12.048,N/A,,,,Far,Close,N/A,"Sandstorm
Starfish
Crab",,,,0,0,1,
,Unusual,,,4,,15,3.8,1.5,N/A,36.145,,,,,,,,,,,,0,0,1,
,Rare,,,4,,45,11.3,1.5,N/A,108.434,,,,,,,,,,,,0,0,1,
,Epic,,,4,,135,33.8,1.5,N/A,325.301,,,,,,,,,,,,0,0,1,
,Legendary,,,4,,405,101.3,1.5,N/A,1951.807,,,,,,,,,,,,0,0,1,
,Mythic,,,4,,1215,303.8,1.5,N/A,11710.843,,,,,,,,,,,,0,0,1,
,Ultra,,,4,,3645,911.3,1.5,N/A,87831.325,,,,,,,,,,,,0,0,1,
,Super,,,4,,10935,2733.8,1.5,N/A,434267.454,,,,,,,,,,,,1,1.09352,1.09352,
,Unique,,,4,,32805,8201.3,1.5,N/A,2178261.774,,,,,,,,,,,,1,3.28052,3.28052,
Shell,Common,,36,1,Yes,5,25,3.5,1.5,1.366,Shield,7,N/A,,None,Close,"Add a shield to the user, or if at full health shield, nearby friendly flowers. The petal then goes on respawn. In Hel, nearby players will not be shielded unless they are in the user's squad.
 The shield is in addition to normal health and serves as extra HP. All incoming damage applies to the shield before the player. The shield slowly decays while active. The shield's decay rate is correlated with the shield's HP, meaning a higher shield value decays faster.
The shield is not considered healing and unaffected by Healing Received or Medic.",Shell,,,,0,0,1,
,Unusual,,,1,,15,75,3.5,1.5,4.098,,21,,,,,,,,,,0,0,1,
,Rare,,,1,,45,225,3.5,1.5,36.885,,63,,,,,,,,,,0,0,1,
,Epic,,,1,,135,675,3.5,1.5,258.197,,189,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,2025,3.5,1.5,2323.77,,567,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,6075,3.5,1.5,12120.074,,1701,,,,,,,,,,1,2.43,2.43,
,Ultra,,,1,,3645,18225,3.5,1.5,60666.781,,2946,,,,,,,,,,1,7.29,7.29,
,Super,,,1,,10935,54675,3.5,1.5,234183.754,,5103,,,,,,,,,,1,21.87,21.87,
,Unique,,,1,,32805,164025,3.5,1.5,776792.28,,8839,,,,,,,,,,1,65.61,65.61,
Shovel,Common,,73,1,No,N/A,N/A,15.0,2,N/A,N/A,,,,None,Close,"If active, turns the user invincible and untargetable (indicated by a grey outline) upon defending, but disables all petals and slows movement speed upon activation. Duration is the usage respawn.","Ant Hole
Worm",,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,13.4,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,11.8,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,10.1,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,8.5,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,6.9,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,5.2,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,3.6,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,2.0,2,N/A,,,,,,,,,,,,1,#VALUE!,#VALUE!,
Soil,Common,,41,1,Yes,10,10,2.5,N/A,3.759,Flower Health; Extra Radius,50,10,N/A,None,Close,"Increases the Max Health of the user. See Statuses for info on Max Health.
Increases flower hitbox and petal radius (range is not increased relative to the flower). The flower will not grow if near a wall. Disables flower collisions for the user near portals. Decreases the pulling effect from super sandstorms.
Decreases movement speed.","Ant Hole
Termite Mound
Worm",,,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,150,10,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,450,10,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,1350,10,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,4050,10,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,12150,10,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,36450,10,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,109350,10,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,328050,10,,,,,,,,,1,26.244,26.244,
Sponge,Common,,40,1,Yes,N/A,N/A,2.5,N/A,N/A,Period (sec),4.5,N/A,,None,Close,"Absorbs 98% of incoming damage (except poison) to the flower. This damage is dealt over time as designated by the period stat. If the petal is unequipped, all damage yet to be dealt is dealt instantly.",Sponge,,,,1,#VALUE!,#VALUE!,
,Unusual,,,1,,N/A,N/A,2.5,N/A,N/A,,8.4,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,1,,N/A,N/A,2.5,N/A,N/A,,12.1,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,1,,N/A,N/A,2.5,N/A,N/A,,15.7,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,1,,N/A,N/A,2.5,N/A,N/A,,19.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,1,,N/A,N/A,2.5,N/A,N/A,,22.6,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,1,,N/A,N/A,2.5,N/A,N/A,,25.9,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,1,,N/A,N/A,2.5,N/A,N/A,,29.2,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,1,,N/A,N/A,2.5,N/A,N/A,,32.5,,,,,,,,,,1,#VALUE!,#VALUE!,
Square,Common,,4,1,Yes,0,0,60,N/A,0,N/A,,,,Far,Close,"Spawns as a friendly square mob of equal rarity.
Does not damage other players' summoned mobs.
Cannot go through walls.
100% crafting chance.",Square,,,,0,0,1,
,Unusual,,,1,,0,0,60,N/A,0,,,,,,,,,,,,0,0,1,
,Rare,,,1,,0,0,60,N/A,0,,,,,,,,,,,,0,0,1,
,Epic,,,1,,0,0,60,N/A,0,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,0,60,N/A,0,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,0,0,60,N/A,0,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,0,0,120,N/A,0,,,,,,,,,,,,0,0,1,
,Super,,,1,,0,0,600,N/A,0,,,,,,,,,,,,0,0,1,
,Unique,,,1,,0,0,3600,N/A,0,,,,,,,,,,,,0,0,1,
Starfish,Common,,31,1,Yes,5,7,1.5,N/A,3.012,Heal (/s),2,N/A,,Far,Close,Heals the user at a constant rate but only if the user is below 75% HP.,Starfish,,2.25,,0,0,1,
,Unusual,,,1,,15,21,1.5,N/A,9.036,,7,,,,,,,,,,0,0,1,
,Rare,,,1,,45,63,1.5,N/A,27.108,,20,,,,,,,,,,0,0,1,
,Epic,,,1,,135,189,1.5,N/A,162.651,,61,,,,,,,,,,0,0,1,
,Legendary,,,1,,405,567,1.5,N/A,1463.855,,182,,,,,,,,,,0,0,1,
,Mythic,,,1,,1215,1701,1.5,N/A,13174.699,,547,,,,,,,,,,0,0,1,
,Ultra,,,1,,3645,5103,1.5,N/A,50255.147,,947,,,,,,,,,,1,2.0412,2.0412,
,Super,,,1,,10935,15309,1.5,N/A,215072.608,,1640,,,,,,,,,,1,6.1236,6.1236,
,Unique,,,1,,32805,45927,1.5,N/A,752159.292,,2841,,,,,,,,,,1,18.3708,18.3708,
Mysterious Stick,Common,,45,1,Yes,1,10,4,20,0.24,"Spawn, Duration",x2 Sandstorm (Common),40,N/A,None,Close,"Spawns a friendly Sandstorm every few seconds as determined by the Usage Respawn value (petal must be alive). These sandstorms have normal Sandstorm AI (can't be aggressive). Can spawn a maximum of 2 Sandstorms. If the petal dies, its respective Sandstorms die. Sandstorms die after losing all their health or after the duration is up. Summoned mobs can damage other summoned mobs from non-squad members.
Cannot go through walls.","With no Orb equipped:
Sandstorm",,,,0,0,1,
,Unusual,,,1,,3,30,4,25.2,0.721,,x2 Sandstorm (Unusual),45.2,,,,,,,,,0,0,1,
,Rare,,,1,,9,90,4,30.5,2.163,,x2 Sandstorm (Rare),50.5,,,,,,,,,0,0,1,
,Epic,,,1,,27,270,4,2.5,19.471,,x2 Sandstorm (Rare),22.5,,,,,,,,,0,0,1,
,Legendary,,,1,,81,810,4,3.7,175.24,,x2 Sandstorm (Epic),23.7,,,,,,,,,0,0,1,
,Mythic,,,1,,243,2430,4,10.7,1460.337,,x2 Sandstorm (Legendary),30.7,,,,,,,,,0,0,1,
,Ultra,,,1,,729,7290,4,22.3,7510.472,,x2 Sandstorm (Mythic),42.3,,,,,,,,,1,2.916,2.916,
,Super,,,1,,2187,21870,4,92.3,37054.3,,x2 Sandstorm (Ultra),112.3,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,6561,65610,4,9.4,141582.427,,x2 Sandstorm (Ultra),29.4,,,,,,,,,1,26.244,26.244,
Magic Stick,Common,,89,1,Yes,1,10,4,4.0,0.24,"Spawn, Spawn Cost (mana), Maintenance Cost (mana/sec)",Sandstorm (Common),23,1.5,None,Close,"Spawns a friendly Sandstorm every few seconds as determined by the Usage Respawn value (petal must be alive) and mana availability. These sandstorms have normal Sandstorm AI (can't be aggressive). Summoned mobs can damage other summoned mobs from non-squad members. Active sandstorms consume mana as determined by the maintenance cost. Sandstorms die after losing all their health or if mana is depleted.
Cannot go through walls.","With Orb equipped:
Sandstorm",,,,0,0,1,
,Unusual,,,1,,3,30,4,5.0,0.721,,Sandstorm (Unusual),46,3,,,,,,,,0,0,1,
,Rare,,,1,,9,90,4,6.1,2.163,,Sandstorm (Rare),92,6,,,,,,,,0,0,1,
,Epic,,,1,,27,270,4,0.5,19.471,,Sandstorm (Rare),184,12,,,,,,,,0,0,1,
,Legendary,,,1,,81,810,4,0.7,175.24,,Sandstorm (Epic),368,24,,,,,,,,0,0,1,
,Mythic,,,1,,243,2430,4,2.1,1460.337,,Sandstorm (Legendary),736,48,,,,,,,,0,0,1,
,Ultra,,,1,,729,7290,4,4.5,7510.472,,Sandstorm (Mythic),1472,96,,,,,,,,1,2.916,2.916,
,Super,,,1,,2187,21870,4,18.5,37054.3,,Sandstorm (Ultra),2944,192,,,,,,,,1,8.748,8.748,
,Unique,,,1,,6561,65610,4,1.9,141582.427,,Sandstorm (Ultra),5888,384,,,,,,,,1,26.244,26.244,
Blood Stinger,Common,,63,1,Yes,100,2,7.5,N/A,13.055,Self Damage,5,N/A,,Far,Close,Deals some damage to the flower when it is spawned. The petal cannot deal fatal self damage.,Wasp,,,,0,0,1,
,Unusual,,,1,,300,6,7.5,N/A,39.164,,15,,,,,,,,,,0,0,1,
,Rare,,,1,,900,18,7.5,N/A,117.493,,45,,,,,,,,,,0,0,1,
,Epic,,,1,,2700,54,7.5,N/A,352.48,,135,,,,,,,,,,0,0,1,
,Legendary,,,1,,8100,162,7.5,N/A,2114.883,,405,,,,,,,,,,0,0,1,
,Mythic,,,3,,8100,162,7.5,N/A,6344.648,,405,,,,,,,,,,0,0,1,
,Ultra,,,5,,14580,292,7.5,N/A,28550.914,,421,,,,,,,,,,0,0,1,
,Super,,,5,,43740,875,7.5,N/A,256958.225,,729,,,,,,,,,,0,0,1,
,Unique,,,5,,131220,2624,7.5,N/A,1976676.77,,1263,,,,,,,,,,1,1.0496,1.0496,
Stinger,Common,,6,1,Yes,100,2,10,N/A,9.843,N/A,,,,Far,Close,N/A,"With no Orb equipped:
Bee",,,,0,0,1,
,Unusual,,,1,,300,6,10,N/A,29.528,,,,,,,,,,,,0,0,1,
,Rare,,,1,,900,18,10,N/A,88.583,,,,,,,,,,,,0,0,1,
,Epic,,,1,,2700,54,10,N/A,265.748,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,8100,162,10,N/A,1594.488,,,,,,,,,,,,0,0,1,
,Mythic,,,3,,8100,162,10,N/A,4783.465,,,,,,,,,,,,0,0,1,
,Ultra,,,5,,14580,291.6,10,N/A,21525.591,,,,,,,,,,,,0,0,1,
,Super,,,5,,43740,874.8,10,N/A,193730.315,,,,,,,,,,,,0,0,1,
,Unique,,,5,,0,2624.4,10,N/A,0,,,,,,,,,,,,1,1.04976,1.04976,
Magic Stinger,Common,,84,1,Yes,250,1,27,N/A,6250,N/A,,,,Far,Close,N/A,"With Orb equipped:
Bee
Wasp",,,,0,0,1,
,Unusual,,,1,,750,3,54,N/A,18750,,,,,,,,,,,,0,0,1,
,Rare,,,1,,2250,9,108,N/A,56250,,,,,,,,,,,,0,0,1,
,Epic,,,1,,6750,27,216,N/A,168750,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,20250,81,432,N/A,506250,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,60750,243,864,N/A,4556250,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,182250,729,1728,N/A,36450000,,,,,,,,,,,,0,0,1,
,Super,,,1,,546750,2187,3456,N/A,300712500,,,,,,,,,,,,0,0,1,
,Unique,,,1,,1640250,6561,6912,N/A,1025156250,,,,,,,,,,,,1,2.6244,2.6244,
Talisman of Evasion,Common,,68,1,Yes*,10,10,2.5,N/A,3.759,Evasion,3%,N/A,,None,Close,Gives the user a chance of not taking damage from an attack. Does not work on poison or lightning. Increased by Luck. Stacks multiplicatively.,Beetle (Normal),,,,0,0,1,
,Unusual,,,1,,30,30,2.5,N/A,11.278,,6%,,,,,,,,,,0,0,1,
,Rare,,,1,,90,90,2.5,N/A,33.835,,9%,,,,,,,,,,0,0,1,
,Epic,,,1,,270,270,2.5,N/A,304.511,,12%,,,,,,,,,,0,0,1,
,Legendary,,,1,,810,810,2.5,N/A,2740.602,,15%,,,,,,,,,,0,0,1,
,Mythic,,,1,,2430,2430,2.5,N/A,22838.346,,18%,,,,,,,,,,0,0,1,
,Ultra,,,1,,7290,7290,2.5,N/A,95308.644,,21%,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,21870,21870,2.5,N/A,419264.464,,24%,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,65610,65610,2.5,N/A,1489299.785,,27%,,,,,,,,,,1,26.244,26.244,
Third Eye,Common,,43,N/A,No,N/A,xf,N/A,N/A,N/A,Extra Range,0,N/A,,None,None,"Does not orbit the user.
Appears on their flower. This change is visible in the top left UI. Affects Attack Range. See Statuses for more info on Attack Range.","With no Orb equipped:
Spider
Spider (Hel)",,,,1,#VALUE!,#VALUE!,
,Unusual,,,N/A,,N/A,N/A,N/A,N/A,N/A,,0,,,,,,,,,,1,#VALUE!,#VALUE!,
,Rare,,,N/A,,N/A,N/A,N/A,N/A,N/A,,0,,,,,,,,,,1,#VALUE!,#VALUE!,
,Epic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,0,,,,,,,,,,1,#VALUE!,#VALUE!,
,Legendary,,,N/A,,N/A,N/A,N/A,N/A,N/A,,40,,,,,,,,,,1,#VALUE!,#VALUE!,
,Mythic,,,N/A,,N/A,N/A,N/A,N/A,N/A,,90,,,,,,,,,,1,#VALUE!,#VALUE!,
,Ultra,,,N/A,,N/A,N/A,N/A,N/A,N/A,,140,,,,,,,,,,1,#VALUE!,#VALUE!,
,Super,,,N/A,,N/A,N/A,N/A,N/A,N/A,,190,,,,,,,,,,1,#VALUE!,#VALUE!,
,Unique,,,N/A,,N/A,N/A,N/A,N/A,N/A,,240,,,,,,,,,,1,#VALUE!,#VALUE!,
Tomato,Common,,60,1,Yes,See Special Stats,10,2.5,3,1.88,Min Damage; Max Damage,5,70,N/A,Far,Close,"Upon spawning, deals the minimum damage. However, after three seconds, it deals maximum damage and stays there. The petal size also grows over time, signifying how much damage it will deal.",Termite Overmind,,,,0,0,1,
,Unusual,,,1,,,30,2.5,3,5.639,,15,210,,,,,,,,,0,0,1,
,Rare,,,1,,,90,2.5,3,16.917,,45,630,,,,,,,,,0,0,1,
,Epic,,,1,,,270,2.5,3,152.256,,135,1890,,,,,,,,,0,0,1,
,Legendary,,,1,,,810,2.5,3,1370.301,,405,5670,,,,,,,,,0,0,1,
,Mythic,,,1,,,2430,2.5,3,11419.173,,1215,17010,,,,,,,,,0,0,1,
,Ultra,,,1,,,7290,2.5,3,47654.322,,3645,51030,,,,,,,,,1,2.916,2.916,
,Super,,,1,,,21870,2.5,3,209632.232,,10935,153090,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,,65610,2.5,3,0,,0,459270,,,,,,,,,1,26.244,26.244,
Triangle,Common,,106,1,Yes,4,10,2.5,3,#VALUE!,Extra Damage per copy,N/A,,,Far,Close,,,,,,0,0,1,
,Unusual,,,1,,12,30,2.5,3,0,,,,,,,,,,,,0,0,1,
,Rare,,,1,,36,90,2.5,3,0,,,,,,,,,,,,0,0,1,
,Epic,,,1,,108,270,2.5,3,0,,,,,,,,,,,,0,0,1,
,Legendary,,,1,,324,810,2.5,3,0,,,,,,,,,,,,0,0,1,
,Mythic,,,1,,972,2430,2.5,3,0,,,,,,,,,,,,0,0,1,
,Ultra,,,1,,2916,7290,2.5,3,0,,,,,,,,,,,,1,2.916,2.916,
,Super,,,1,,4096,21870,2.5,3,0,,,,,,,,,,,,1,8.748,8.748,
,Unique,,,1,,8748,65610,2.5,3,0,,,,,,,,,,,,1,26.244,26.244,
Uranium,Common,,39,1,Yes,0,75,2.5,0.5,0,Poison,50,N/A,,Far - Lays Down,Close - Lays Down,"Inflicts poison damage on the user and all hostile entities large radius, with damage decreasing the further from the petal the entity is. When placed down, the petal goes on reload, allowing multiple Uranium petals to be placed at once (but only the closest uranium inflicts damage). See Statuses for info on poison.
Turns all mobile mobs aggressive (except sandstorm and bubble), even ones that normally can't be, if they were passive before. Cannot go through walls.",Digger,,,,0,0,1,
,Unusual,,,1,,0,225,2.5,0.5,0,,150,,,,,,,,,,0,0,1,
,Rare,,,1,,0,675,2.5,0.5,0,,450,,,,,,,,,,0,0,1,
,Epic,,,1,,0,2025,2.5,0.5,0,,1350,,,,,,,,,,0,0,1,
,Legendary,,,1,,0,6075,2.5,0.5,0,,4050,,,,,,,,,,1,2.43,2.43,
,Mythic,,,1,,0,18225,2.5,0.5,0,,12150,,,,,,,,,,1,7.29,7.29,
,Ultra,,,1,,0,54675,2.5,0.5,0,,36450,,,,,,,,,,1,21.87,21.87,
,Super,,,1,,0,164025,2.5,0.5,0,,109350,,,,,,,,,,1,65.61,65.61,
,Unique,,,1,,0,492075,2.5,0.5,0,,328050,,,,,,,,,,1,196.83,196.83,
Web,Common,,20,1,Yes,5,5,3,0.5,1.582,Duration; Radius,10,50,N/A,Shoots - Lays Down,Lays down in place,"Upon attacking, shoots in a straight line away from the flower for a short distance before stopping and laying down a web on the ground. Upon defending or unequipping the petal (if active), the petal lays a web on the ground where it is. If destroyed while shooting (but not while orbiting), a web will be laid down where the petal was destroyed. The web moderately slows down mobs (except Spiders, Hel Spiders and Shells) and hostile flowers that wander over it, not stacking with other webs but stacking with Pincer. Once a web is laid down, the petal goes on respawn. Webs do not deal damage once on the ground.
Cannot be shot through walls.",Spider,,,,0,0,1,
,Unusual,,,1,,15,15,3,0.5,4.747,,10,60,,,,,,,,,0,0,1,
,Rare,,,1,,45,45,3,0.5,14.241,,10,70,,,,,,,,,0,0,1,
,Epic,,,1,,135,135,3,0.5,85.443,,10,80,,,,,,,,,0,0,1,
,Legendary,,,1,,405,405,3,0.5,640.823,,10,100,,,,,,,,,0,0,1,
